######################################################
24-Sep-2023 17:24:45:Finished extracted the data for iris
24-Sep-2023 17:24:52:Error of round 261 : 0.068407 

24-Sep-2023 17:24:52:Error of round 262 : 0.068319 

24-Sep-2023 17:24:52:Error of round 263 : 0.068231 

24-Sep-2023 17:24:52:Error of round 264 : 0.068144 

24-Sep-2023 17:24:52:Error of round 265 : 0.068058 

24-Sep-2023 17:24:52:Error of round 266 : 0.067973 

24-Sep-2023 17:24:52:Error of round 267 : 0.067888 

24-Sep-2023 17:24:52:Error of round 268 : 0.067805 

24-Sep-2023 17:24:52:Error of round 269 : 0.067722 

24-Sep-2023 17:24:52:Error of round 270 : 0.067639 

24-Sep-2023 17:24:52:Error of round 271 : 0.067558 

24-Sep-2023 17:24:52:Error of round 272 : 0.067477 

24-Sep-2023 17:24:52:Error of round 273 : 0.067397 

24-Sep-2023 17:24:52:Error of round 274 : 0.067318 

24-Sep-2023 17:24:52:Error of round 275 : 0.067239 

24-Sep-2023 17:24:52:Error of round 276 : 0.067161 

24-Sep-2023 17:24:52:Error of round 277 : 0.067084 

24-Sep-2023 17:24:52:Error of round 278 : 0.067008 

24-Sep-2023 17:24:52:Error of round 279 : 0.066932 

24-Sep-2023 17:24:52:Error of round 280 : 0.066856 

24-Sep-2023 17:24:52:Error of round 281 : 0.066782 

24-Sep-2023 17:24:52:Error of round 282 : 0.066708 

24-Sep-2023 17:24:52:Error of round 283 : 0.066634 

24-Sep-2023 17:24:52:Error of round 284 : 0.066561 

24-Sep-2023 17:24:52:Error of round 285 : 0.066489 

24-Sep-2023 17:24:52:Error of round 286 : 0.066417 

24-Sep-2023 17:24:52:Error of round 287 : 0.066346 

24-Sep-2023 17:24:52:Error of round 288 : 0.066276 

24-Sep-2023 17:24:52:Error of round 289 : 0.066206 

24-Sep-2023 17:24:52:Error of round 290 : 0.066137 

24-Sep-2023 17:24:52:Error of round 291 : 0.066068 

24-Sep-2023 17:24:52:Error of round 292 : 0.065999 

24-Sep-2023 17:24:53:Error of round 293 : 0.065932 

24-Sep-2023 17:24:53:Error of round 294 : 0.065864 

24-Sep-2023 17:24:53:Error of round 295 : 0.065798 

24-Sep-2023 17:24:53:Error of round 296 : 0.065731 

24-Sep-2023 17:24:53:Error of round 297 : 0.065666 

24-Sep-2023 17:24:53:Error of round 298 : 0.065600 

24-Sep-2023 17:24:53:Error of round 299 : 0.065536 

24-Sep-2023 17:24:53:Error of round 300 : 0.065471 

24-Sep-2023 17:24:53:Error of round 301 : 0.065408 

24-Sep-2023 17:24:53:Error of round 302 : 0.065344 

24-Sep-2023 17:24:53:Error of round 303 : 0.065281 

24-Sep-2023 17:24:53:Error of round 304 : 0.065219 

24-Sep-2023 17:24:53:Error of round 305 : 0.065157 

24-Sep-2023 17:24:53:Error of round 306 : 0.065096 

24-Sep-2023 17:24:53:Error of round 307 : 0.065034 

24-Sep-2023 17:24:53:Error of round 308 : 0.064974 

24-Sep-2023 17:24:53:Error of round 309 : 0.064914 

24-Sep-2023 17:24:53:Error of round 310 : 0.064854 

24-Sep-2023 17:24:53:Error of round 311 : 0.064794 

24-Sep-2023 17:24:53:Error of round 312 : 0.064736 

24-Sep-2023 17:24:53:Error of round 313 : 0.064677 

24-Sep-2023 17:24:53:Error of round 314 : 0.064619 

24-Sep-2023 17:24:53:Error of round 315 : 0.064561 

24-Sep-2023 17:24:53:Error of round 316 : 0.064504 

24-Sep-2023 17:24:53:Error of round 317 : 0.064447 

24-Sep-2023 17:24:53:Error of round 318 : 0.064390 

24-Sep-2023 17:24:53:Error of round 319 : 0.064334 

24-Sep-2023 17:24:53:Error of round 320 : 0.064278 

24-Sep-2023 17:24:53:Error of round 321 : 0.064223 

24-Sep-2023 17:24:53:Error of round 322 : 0.064168 

24-Sep-2023 17:24:53:Error of round 323 : 0.064113 

24-Sep-2023 17:24:53:Error of round 324 : 0.064059 

24-Sep-2023 17:24:53:Error of round 325 : 0.064005 

24-Sep-2023 17:24:53:Error of round 326 : 0.063951 

24-Sep-2023 17:24:53:Error of round 327 : 0.063898 

24-Sep-2023 17:24:53:Error of round 328 : 0.063845 

24-Sep-2023 17:24:53:Error of round 329 : 0.063792 

24-Sep-2023 17:24:53:Error of round 330 : 0.063740 

24-Sep-2023 17:24:53:Error of round 331 : 0.063688 

24-Sep-2023 17:24:53:Error of round 332 : 0.063636 

24-Sep-2023 17:24:53:Error of round 333 : 0.063585 

24-Sep-2023 17:24:54:Error of round 334 : 0.063534 

24-Sep-2023 17:24:54:Error of round 335 : 0.063483 

24-Sep-2023 17:24:54:Error of round 336 : 0.063433 

24-Sep-2023 17:24:54:Error of round 337 : 0.063383 

24-Sep-2023 17:24:54:Error of round 338 : 0.063333 

24-Sep-2023 17:24:54:Error of round 339 : 0.063284 

24-Sep-2023 17:24:54:Error of round 340 : 0.063235 

24-Sep-2023 17:24:54:Error of round 341 : 0.063186 

24-Sep-2023 17:24:54:Error of round 342 : 0.063138 

24-Sep-2023 17:24:54:Error of round 343 : 0.063089 

24-Sep-2023 17:24:54:Error of round 344 : 0.063041 

24-Sep-2023 17:24:54:Error of round 345 : 0.062994 

24-Sep-2023 17:24:54:Error of round 346 : 0.062947 

24-Sep-2023 17:24:54:Error of round 347 : 0.062899 

24-Sep-2023 17:24:54:Error of round 348 : 0.062853 

24-Sep-2023 17:24:54:Error of round 349 : 0.062806 

24-Sep-2023 17:24:54:Error of round 350 : 0.062760 

24-Sep-2023 17:24:54:Error of round 351 : 0.062714 

24-Sep-2023 17:24:54:Error of round 352 : 0.062668 

24-Sep-2023 17:24:54:Error of round 353 : 0.062623 

24-Sep-2023 17:24:54:Error of round 354 : 0.062578 

24-Sep-2023 17:24:54:Error of round 355 : 0.062533 

24-Sep-2023 17:24:54:Error of round 356 : 0.062488 

24-Sep-2023 17:24:54:Error of round 357 : 0.062444 

24-Sep-2023 17:24:54:Error of round 358 : 0.062400 

24-Sep-2023 17:24:54:Error of round 359 : 0.062356 

24-Sep-2023 17:24:54:Error of round 360 : 0.062312 

24-Sep-2023 17:24:54:Error of round 361 : 0.062269 

24-Sep-2023 17:24:54:Error of round 362 : 0.062226 

24-Sep-2023 17:24:54:Error of round 363 : 0.062183 

24-Sep-2023 17:24:54:Error of round 364 : 0.062140 

24-Sep-2023 17:24:54:Error of round 365 : 0.062098 

24-Sep-2023 17:24:54:Error of round 366 : 0.062055 

24-Sep-2023 17:24:54:Error of round 367 : 0.062014 

24-Sep-2023 17:24:54:Error of round 368 : 0.061972 

24-Sep-2023 17:24:54:Error of round 369 : 0.061930 

24-Sep-2023 17:24:54:Error of round 370 : 0.061889 

24-Sep-2023 17:24:54:Error of round 371 : 0.061848 

24-Sep-2023 17:24:54:Error of round 372 : 0.061807 

24-Sep-2023 17:24:54:Error of round 373 : 0.061767 

24-Sep-2023 17:24:54:Error of round 374 : 0.061726 

